Sample_name,proc_dist,centeroid,LM 1_X,LM 1_Y,LM 1_Z,LM 2_X,LM 2_Y,LM 2_Z,LM 3_X,LM 3_Y,LM 3_Z,LM 4_X,LM 4_Y,LM 4_Z,LM 5_X,LM 5_Y,LM 5_Z,LM 6_X,LM 6_Y,LM 6_Z,LM 7_X,LM 7_Y,LM 7_Z,LM 8_X,LM 8_Y,LM 8_Z,LM 9_X,LM 9_Y,LM 9_Z,LM 10_X,LM 10_Y,LM 10_Z,LM 11_X,LM 11_Y,LM 11_Z,LM 12_X,LM 12_Y,LM 12_Z
Bboulengeri BM2000.474,0.06204376071036032,5.863306857002638,0.38287422760595496,0.2040457417956674,-0.022226879740998847,-0.37204126449897834,-0.4135723047356099,0.25977201928058996,0.19708735774291253,-0.040624934357564445,-0.18144012793325887,0.2070754063700031,-0.054303479344323786,-0.1666457621843935,0.03340334226703773,-0.021872352438646776,-0.05330234207720412,-0.05659899363111238,-0.05939007928704075,0.04934552850963806,0.14119764966860268,0.1936750798249274,0.21902494128345032,-0.07846818903610853,-0.17045312512408545,-0.19656145995945812,-0.015232826613815639,0.08571902833493746,0.11968635747993386,0.12696802110081146,0.10361167462194266,-0.09389211506315412,-0.035473246797639406,0.012219200873828363,0.019913907233374214,-0.10281845751450415,-0.10164762250118628,-0.11905392115452829
Bboulengeri BM2000.476,0.03565717072811312,6.09129960856459,0.380175190157007,0.20278376473422205,-0.015203777860665499,-0.36862109066479304,-0.41246700806074044,0.2752639897571212,0.17147632189855097,-0.04886286646464783,-0.1797466726490844,0.18714498256927842,-0.02742928544047053,-0.1645135479757783,0.024149403438050054,-0.01891216578869964,-0.043283784251821764,-0.05881044246906165,-0.05259555584458281,0.03293976335318319,0.1544009008830375,0.2024564991575747,0.2282547371741835,-0.08641532017870118,-0.16862212804431084,-0.21356190742885114,-0.017882183376952333,0.09114467923482351,0.1225969379111783,0.11852857666600519,0.09576050399082925,-0.09930146990365624,-0.03509390447151031,0.027226970074174527,0.030530481249880538,-0.11486102324906244,-0.10256913385633268,-0.11608043426937739
Bboulengeri BM2000.556,0.03273898037861346,7.166822578979927,0.39206087940574547,0.19401714967375083,-0.006316063900698037,-0.3490908301940115,-0.4037582212353667,0.2865524966722031,0.16915745193406717,-0.0523950459356078,-0.19547986129450565,0.19137537346164113,-0.03747751905770576,-0.18864580952951215,0.03214852951154488,-0.02503791177045743,-0.044702303837718935,-0.04977733156040494,-0.05270824436928948,0.038644045833502456,0.15918193597873606,0.19516161540571136,0.2226021775439468,-0.09398293973506806,-0.16939641719260046,-0.21213315580790212,-0.02430904021226372,0.0926637282970598,0.12060820794052743,0.11542239651827928,0.09066913368087597,-0.1041903760000601,-0.017652888765857216,0.01688806031916215,0.03213498693381195,-0.10419397718390457,-0.10109461857519796,-0.116945612952433
Bboulengeri BM2000.607,0.04372103691778337,6.41164026496145,0.38469665650746865,0.19822021741240914,-0.02039775768837563,-0.3625979893677051,-0.4140922519137102,0.28424240263933537,0.17313927499508897,-0.0483116770855621,-0.18275111321560378,0.1851379763466144,-0.03176877513012773,-0.1655169634998323,0.02925344589245418,-0.025176119575681017,-0.05268262588114001,-0.05775810998847361,-0.045184932819450414,0.041769835518563274,0.15493171642674225,0.19911522611264926,0.21363815105177617,-0.08284757609625383,-0.17540589381309568,-0.19965311682809064,-0.015766267116197694,0.09362490462625175,0.13407367777217016,0.12356467867252603,0.09699187419842885,-0.08897871217317187,-0.04426044744455084,0.01480534466417954,0.02925406174897026,-0.12207624860970381,-0.10916866117170655,-0.11206420516719574
Bboulengeri BM2000.611,0.0520980109224527,6.535317959361877,0.38006818424234984,0.1911976537706355,-0.013625909697151195,-0.3488346527920412,-0.4000850097430495,0.2777680024600171,0.18772449529419136,-0.050377524646526776,-0.1905890036569314,0.17920091228310606,-0.042860490073130766,-0.16958665744146903,0.02894309723290238,-0.02178347416668315,-0.05097401924821381,-0.059953097661912064,-0.05793477092094303,0.03858995516802767,0.15570752458724266,0.20484910426383324,0.23308232624968622,-0.09120243729535746,-0.1722671928364234,-0.20705701537215923,-0.01266178286274649,0.09354721617528082,0.14498002422272155,0.1317545098299933,0.0924375949261661,-0.09876498449008761,-0.02729403960175313,0.020002701744162563,0.011714931949026952,-0.12262686364668357,-0.10517297981655606,-0.12791632842952438
Bboulengeri BM2000.621,0.04862388191723858,6.6192286913455325,0.3833232852276063,0.19637223981548874,-0.019006684612302805,-0.35692665196292006,-0.40899108511241844,0.2920690353910654,0.16037374996204948,-0.047213829169485536,-0.17733959917282024,0.17714150008856888,-0.03939323360400883,-0.16040872685082314,0.03781259413294317,-0.01709617331677687,-0.044044699812317706,-0.05702806469687722,-0.04145558439948957,0.039598628241297694,0.16784136801956995,0.19612132038013316,0.2290632564351968,-0.11032925484847914,-0.1822636186040474,-0.21821977153115285,-0.0324058170345138,0.08286343718426978,0.12939717510877358,0.11336313765115949,0.08425537259556241,-0.10796307496087146,-0.01091398754719515,0.02271493673493752,0.042429481918492544,-0.1046160762519901,-0.1013872586232743,-0.11773732677535051
Bboulengeri BM2000.629,0.0632344315288134,8.386053019737902,0.37497301738671585,0.19944318685913726,-0.011369810367503064,-0.34212076869768276,-0.39736913335893553,0.29745559087924844,0.1685526071369903,-0.04587764062708699,-0.2083652269693793,0.19686962306056405,-0.04007155345253437,-0.19211989184953376,0.036973823665437174,-0.03284439586543026,-0.041249466592665776,-0.0509899432747624,-0.04881760459534108,0.0365483398066228,0.1622954397437416,0.20147947969377394,0.2255606548291007,-0.09717882464325257,-0.1767899005313435,-0.2149876022358807,-0.013168880051449353,0.07560679238703112,0.11541910760831692,0.11948122102008446,0.09028937724629434,-0.09786604846652937,0.005803231160586175,0.017641422296630647,0.020410068276690296,-0.13072359781815,-0.09922957627826227,-0.10366311738124293
Bboulengeri BM2002.789,0.056207806558226506,6.370437765348354,0.3908477796853166,0.19747051043454314,-0.023838272573144647,-0.35816381382296447,-0.4090179763689658,0.2753554040444859,0.18745727694737033,-0.05657147032825488,-0.18636020605827297,0.2006976765380216,-0.04590374317686581,-0.17197316532126886,0.024905785754755296,-0.027603261946746085,-0.04690815500563166,-0.06419534951311143,-0.05995467358171795,0.03823560024698405,0.14147987157041164,0.19974876368810007,0.22161373431816694,-0.07251580485846112,-0.16269667563769233,-0.19210983503505752,-0.017693319667664232,0.09187243668923563,0.1328482674362816,0.13017427606753654,0.10005704127423137,-0.09182450074633976,-0.0364547116725809,0.011442996019296395,0.014111886296853697,-0.11257323936983311,-0.10525450203696142,-0.11670663029005578
Bboulengeri BM2002.796,0.04055999924895516,5.972732772737493,0.39208606217588604,0.19892022626828218,-0.006374474283700683,-0.365292263908231,-0.414739572194803,0.28683458503011877,0.17500684179278708,-0.06571997073250976,-0.1776941081568893,0.18368835721350193,-0.039973325144134514,-0.16674235806030793,0.03297821118615912,-0.025006185136890735,-0.052834914998776884,-0.051984020410851255,-0.04331141794462374,0.05707332792743207,0.1445070926279762,0.19671101293652168,0.21346784300991314,-0.09559884263567917,-0.17081988315762459,-0.2051822234035559,-0.02730831796178295,0.08916385294505533,0.12677521359442837,0.11515513036886245,0.08972627801858092,-0.08988780799994586,-0.03758096710858797,0.01883330590942268,0.03537840615408718,-0.10696000871794921,-0.10790203631745207,-0.10539304888471888
Bboulengeri BM2002.797,0.03881404921311804,8.338784434409892,0.38220279454015815,0.19116526285656313,-0.015282997784011551,-0.341551632321518,-0.40105551073235723,0.2798617341670229,0.1811602886903769,-0.05764915422829354,-0.19052163669389055,0.19431372355358795,-0.041705618730107724,-0.18093725331753094,0.028364156442541876,-0.025383662297867135,-0.0465826605269832,-0.05520945337346359,-0.0527557255526908,0.03949333523725313,0.15624296029204082,0.20778843655687734,0.23183441882040673,-0.0885929057456365,-0.17754653132278628,-0.21765236852969289,-0.01481559913987357,0.08907632236215524,0.12397741116106538,0.12557285173649838,0.09298450334984613,-0.09315064690526444,-0.02761972437467184,0.020316232638431873,0.025777325320244328,-0.11376908280895257,-0.10781500366822884,-0.12053458967125061
