Sample_name,ID,Method,Sex,Person,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30
Bboulengeri BM2005.319,319,ALPACA,Male,Jake,0.037702299,0.049753154,0.018596531,0.020892633,0.007212378,-0.070338168,-0.044883854,0.021222903,-0.003363554,0.024954596,0.026639535,0.038047983,-0.044762755,-0.002817087,0.006005648,-0.054489852,-0.037955078,-0.060121706,-0.014562087,-0.046489941,0.037230111,0.007963899,-0.093132377,0.039619122,-0.251493749,0.117744212,-0.005351343,0.114643779,-0.215498704,-0.047414533
Bboulengeri BM2005.320,320,ALPACA,Male,Jake,0.043984408,0.069653164,-0.00982603,-0.005800067,0.013799285,-0.066214752,0.000457489,0.015055991,-0.012037873,0.019838746,0.018986383,0.028168833,-0.040470729,0.002496162,0.015170293,-0.052158333,-0.042308874,-0.062777325,-0.014417825,-0.050502252,0.039904191,0.011140564,-0.097624481,0.040173041,-0.251200028,0.116888943,-0.005767514,0.115412841,-0.215230472,-0.047414533
BM2000.476,476,MANUAL,Female,Jonathan,0.068463746,0.011098899,-0.02696848,0.019832678,-0.003588226,-0.042535231,-0.034119063,0.025089032,-0.006187588,0.032079523,0.021311423,0.040819292,-0.034109574,0.002801391,0.011457776,-0.061390373,-0.035029214,-0.061685845,-0.017728198,-0.055486063,0.043088828,0.008336158,-0.09508051,0.039883432,-0.252093935,0.117602462,-0.006389772,0.115388998,-0.215109663,-0.047414533
BM2000.556,556,MANUAL,Male,Jonathan,0.05765441,0.039869921,-0.014067388,-0.001034832,0.00861498,-0.062462859,-0.041762133,0.012398624,-0.004158802,0.032658854,0.013644891,0.043122249,-0.047998814,0.000966326,0.018141991,-0.05907232,-0.035687943,-0.05702932,-0.015320351,-0.047570315,0.03873777,0.008784117,-0.095295752,0.038866831,-0.252129125,0.114411825,-0.005870577,0.115719572,-0.21512851,-0.047414533
BM2000.607,607,MANUAL,Female,Jonathan,0.083681231,-0.030357255,-0.026438787,0.008177766,0.018135868,-0.047964144,-0.024835443,0.02675101,-0.01109981,0.024636397,0.024072488,0.024977536,-0.051404753,0.002072048,0.016879111,-0.048575799,-0.040457301,-0.054089216,-0.013987832,-0.047680632,0.039256228,0.006668814,-0.094127981,0.040237479,-0.252271634,0.116937412,-0.006794769,0.115079455,-0.21498819,-0.047414533
BM2000.611,611,MANUAL,Male,Jonathan,0.084962838,0.001419264,-0.043939456,0.002654579,-0.0057724,-0.040425846,-0.029205239,0.004020382,0.01157729,0.025900781,0.011251135,0.032175827,-0.042526495,-0.00464285,0.010586753,-0.054754139,-0.041928715,-0.063257514,-0.019988542,-0.046095688,0.039455166,0.008346081,-0.096850752,0.039249509,-0.251433764,0.116369886,-0.006424459,0.114409169,-0.21557617,-0.047414533
BM2000.621,621,MANUAL,Female,Jonathan,0.071154013,-0.006451627,-0.028352438,0.039653892,-0.008826813,-0.058901944,-0.027804164,0.017130001,0.006763284,0.017447221,0.017598155,0.03369359,-0.047470824,0.006873001,0.017077033,-0.050862548,-0.03749564,-0.059572272,-0.0192429,-0.048843329,0.039616559,0.006504503,-0.096902593,0.039535261,-0.251411928,0.11696133,-0.004051035,0.115491665,-0.214965423,-0.047414533
BMNH 2000.629,629,MANUAL,Male,Calvin,0.025797899,0.066726146,-0.018264164,0.018794792,-0.033975633,-0.045898787,-0.024823903,0.010596762,0.005180107,0.031501864,0.024581686,0.032649269,-0.051259122,-0.004468838,0.02374139,-0.056935405,-0.04433952,-0.062076053,-0.016231873,-0.048330871,0.038166185,0.006967197,-0.093623095,0.040068548,-0.251562926,0.117255702,-0.006350913,0.115467947,-0.214849558,-0.047414533
BMNH 2002.789,789,MANUAL,Female,Calvin,0.082314238,0.004332231,0.005101826,0.011050554,0.010986811,-0.055536842,-0.005577046,-0.000774993,0.008041794,0.035863552,0.024589314,0.04772998,-0.037571592,0.008355329,0.021150321,-0.056128529,-0.038550743,-0.058871657,-0.016998403,-0.04513248,0.040340873,0.008191495,-0.093867623,0.042619852,-0.251916106,0.117031255,-0.005757118,0.114962121,-0.215169615,-0.047414533
BMNH 2002.796,796,MANUAL,Male,Calvin,0.056702012,-0.019332381,-0.023414551,0.008249132,-0.01620567,-0.070868172,-0.034209553,0.028367751,0.007652202,0.026111527,0.022677204,0.035824853,-0.041818796,0.003353317,0.026040321,-0.055481503,-0.040970414,-0.056140216,-0.016704325,-0.048395305,0.038896418,0.013664575,-0.094672664,0.039616968,-0.250853702,0.117292431,-0.006089191,0.115530396,-0.215696816,-0.047414533
BMNH 2002.797,797,MANUAL,Male,Calvin,0.067037523,0.033435494,-0.026006254,0.049926853,-0.011131886,-0.046345686,-0.013553571,0.002260746,-0.00679719,0.042674242,0.020694902,0.033737957,-0.040260424,0.000618584,0.013351046,-0.054605302,-0.038524042,-0.052179995,-0.012695132,-0.04646337,0.038767519,0.008636774,-0.096739616,0.038056293,-0.252490121,0.117410925,-0.005889702,0.115620946,-0.215615725,-0.047414533
BMNH 2002.800,800,MANUAL,Female,Calvin,0.071883054,0.009972288,-0.02340682,-0.008622485,0.018521402,-0.046087929,-0.033567307,0.00392473,-0.004526797,0.018208331,0.028898876,0.031264717,-0.045035742,-0.003229462,0.024128653,-0.063948651,-0.04044768,-0.0608356,-0.014873435,-0.046869691,0.041086173,0.005221231,-0.09561429,0.039303675,-0.251853182,0.11772641,-0.005312622,0.115865757,-0.215695765,-0.047414533
BMNH2000_474,474,MANUAL,NA,Jake,0.074726192,-0.015909086,-0.018443543,-0.011673157,-0.008308113,-0.043566247,-0.039924223,0.004516711,-0.014253186,0.034599896,0.013126822,0.038930533,-0.040980766,0.008308634,0.01518285,-0.057456294,-0.046763938,-0.060967964,-0.012438997,-0.049147536,0.034585066,0.010117386,-0.095475654,0.039584021,-0.252384335,0.117664578,-0.005094906,0.115191734,-0.215037634,-0.047414533
BMNH2002.848,848,MANUAL,Female,Jake,0.075347794,-0.005275582,-0.005249264,-0.015794714,-0.016169698,-0.054631449,-0.032021192,-0.001772169,0.005382299,0.03240214,0.031207119,0.036533531,-0.053152654,0.001172122,0.008706483,-0.051077964,-0.032295127,-0.060327095,-0.013971076,-0.049573683,0.03763776,0.008799773,-0.097413819,0.041133559,-0.251026612,0.117439245,-0.006239299,0.115927623,-0.215283658,-0.047414533
BMNH2002.849,849,MANUAL,Female,Jake,0.042077614,-0.012634053,-0.004986355,0.014964768,0.010528044,-0.072049605,-0.022595066,0.008048479,0.012000535,0.030425562,0.036341311,0.040571725,-0.046715342,-0.003011506,0.019145823,-0.059638666,-0.042570083,-0.058366586,-0.014675727,-0.051907917,0.037813103,0.008565749,-0.098249219,0.037532949,-0.252579792,0.117018587,-0.006020473,0.114672252,-0.214990024,-0.047414533
BMNH2005_320,320,MANUAL,Male,Jake,0.039623402,0.038180261,-0.05434152,-0.032497353,-0.012426038,-0.066832768,-0.027180506,0.018046652,0.015524992,0.030091763,0.020740643,0.035763501,-0.032134522,0.000361121,0.014924739,-0.051766413,-0.039636718,-0.052899712,-0.012410287,-0.049624957,0.03946572,0.005139054,-0.095350193,0.039883605,-0.252320881,0.117233015,-0.005429752,0.115181176,-0.21523529,-0.047414533
BMNH2005.319,319,MANUAL,Male,Jake,0.023996329,0.021123247,-0.038292483,0.012912387,-0.005032417,-0.072687486,-0.041638094,-0.010083851,-0.005535549,0.01872133,0.025096225,0.041195014,-0.049116359,0.009828334,0.010785825,-0.052598543,-0.047168033,-0.055904472,-0.017789226,-0.04940586,0.043962246,0.008692194,-0.095119056,0.040066808,-0.252358576,0.117117394,-0.006221992,0.115422214,-0.215330611,-0.047414533
